dept_name,year,month_number,month_name,total_billed,total_paid,total_outstanding,transaction_count,avg_stay
Dermatology,2024,1,January,7211.09,5199.08,2012.01,6,2.1666666666666665
Dermatology,2024,2,February,3885.8,3585.9,299.9,5,0.0
Dermatology,2024,3,March,16974.03,14554.11,2419.92,9,0.2222222222222222
Dermatology,2024,4,April,13685.43,10916.63,2768.8,12,1.1666666666666667
Dermatology,2024,5,May,18426.08,14153.94,4272.14,13,0.15384615384615385
Dermatology,2024,6,June,3938.73,3335.31,603.42,2,0.5
Dermatology,2024,7,July,17513.62,13139.48,4374.14,13,0.38461538461538464
Dermatology,2024,8,August,15865.44,13727.74,2137.7,12,1.5833333333333333
Dermatology,2024,9,September,16802.99,14578.67,2224.32,10,0.5
Dermatology,2024,10,October,6018.9,4591.17,1427.73,3,0.0
Dermatology,2024,11,November,22482.87,19596.23,2886.64,13,1.1538461538461537
Dermatology,2024,12,December,11311.76,10490.94,820.82,9,0.3333333333333333
Emergency,2022,1,January,1547178.87,1245724.76,301454.11,69,2.6231884057971016
Emergency,2022,2,February,1453372.38,1206254.03,247118.35,62,2.9193548387096775
Emergency,2022,3,March,1152330.68,933983.85,218346.83,60,2.6333333333333333
Emergency,2022,4,April,1382421.71,1147171.94,235249.77,62,2.8870967741935485
Emergency,2022,5,May,1257260.35,977857.62,279402.73,55,2.6545454545454543
Emergency,2022,6,June,1019492.41,841928.52,177563.89,46,1.934782608695652
Emergency,2022,7,July,956618.53,792210.77,164407.76,53,2.150943396226415
Emergency,2022,8,August,1754071.39,1427637.46,326433.93,77,3.116883116883117
Emergency,2022,9,September,1509222.11,1274763.72,234458.39,61,3.557377049180328
Emergency,2022,10,October,646828.36,543780.33,103048.03,40,2.85
Emergency,2022,11,November,815828.16,676364.59,139463.57,46,2.4347826086956523
Emergency,2022,12,December,1430305.84,1172015.97,258289.87,73,2.4794520547945207
Emergency,2023,1,January,1740561.26,1390430.45,350130.81,74,2.9864864864864864
Emergency,2023,2,February,1660462.84,1297963.47,362499.37,60,2.8833333333333333
Emergency,2023,3,March,1326035.09,1126076.27,199958.82,58,3.1379310344827585
Emergency,2023,4,April,1247449.91,1054791.82,192658.09,49,2.979591836734694
Emergency,2023,5,May,1378436.61,1168083.04,210353.57,59,3.016949152542373
Emergency,2023,6,June,1067855.41,903924.05,163931.36,52,2.519230769230769
Emergency,2023,7,July,1502650.56,1189804.42,312846.14,69,2.8405797101449277
Emergency,2023,8,August,1492427.62,1263268.36,229159.26,74,3.0675675675675675
Emergency,2023,9,September,1695760.1,1422702.09,273058.01,72,2.4722222222222223
Emergency,2023,10,October,725388.59,555648.92,169739.67,46,2.5652173913043477
Emergency,2023,11,November,826185.99,713764.32,112421.67,49,2.693877551020408
Emergency,2023,12,December,1276557.72,1025917.29,250640.43,75,2.6533333333333333
Emergency,2024,1,January,1239543.7,1017765.47,221778.23,70,2.5714285714285716
Emergency,2024,2,February,866314.2,697382.56,168931.64,49,2.7551020408163267
Emergency,2024,3,March,1114173.22,878559.04,235614.18,62,2.1774193548387095
Emergency,2024,4,April,1208436.29,1025614.02,182822.27,59,2.3389830508474576
Emergency,2024,5,May,904111.09,757526.73,146584.36,51,3.5294117647058822
Emergency,2024,6,June,1004990.3,806891.11,198099.19,53,2.6792452830188678
Emergency,2024,7,July,1616369.56,1356455.94,259913.62,78,2.6538461538461537
Emergency,2024,8,August,1792535.41,1495014.57,297520.84,96,3.15625
Emergency,2024,9,September,1980701.95,1638230.63,342471.32,75,3.2933333333333334
Emergency,2024,10,October,1001446.64,824407.31,177039.33,58,2.5172413793103448
Emergency,2024,11,November,1281579.17,1128639.04,152940.13,55,2.4909090909090907
Emergency,2024,12,December,1189827.36,1005078.25,184749.11,66,2.1818181818181817
ENT,2022,1,January,3133110.98,2501658.76,631452.22,37,5.864864864864865
ENT,2022,2,February,3052702.69,2631925.33,420777.36,21,5.571428571428571
ENT,2022,3,March,3221771.34,2853807.56,367963.78,30,7.833333333333333
ENT,2022,4,April,2970778.22,2529510.77,441267.45,29,5.275862068965517
ENT,2022,5,May,3719253.13,2843304.31,875948.82,35,6.542857142857143
ENT,2022,6,June,2337709.43,1949161.27,388548.16,21,5.476190476190476
ENT,2022,7,July,3567569.83,2802591.34,764978.49,36,5.444444444444445
ENT,2022,8,August,4514210.18,3698163.59,816046.59,37,7.837837837837838
ENT,2022,9,September,4408662.38,3664144.39,744517.99,33,6.393939393939394
ENT,2022,10,October,2844562.34,2128020.8,716541.54,23,6.260869565217392
ENT,2022,11,November,4019291.3,3395376.2,623915.1,27,8.148148148148149
ENT,2022,12,December,4779110.94,3836596.47,942514.47,35,6.085714285714285
ENT,2023,1,January,5954940.55,5089066.43,865874.12,43,6.395348837209302
ENT,2023,2,February,3215830.4,2747576.54,468253.86,26,5.423076923076923
ENT,2023,3,March,3222284.57,2611422.69,610861.88,27,6.444444444444445
ENT,2023,4,April,3603344.36,3040106.74,563237.62,29,7.620689655172414
ENT,2023,5,May,2295099.9,2038946.01,256153.89,21,5.714285714285714
ENT,2023,6,June,2902842.79,2400702.86,502139.93,22,5.909090909090909
ENT,2023,7,July,3875232.45,3242032.61,633199.84,26,8.5
ENT,2023,8,August,4268890.7,3690262.47,578628.23,31,7.064516129032258
ENT,2023,9,September,3846255.98,3167604.04,678651.94,37,5.594594594594595
ENT,2023,10,October,5341084.06,4338065.16,1003018.9,40,5.575
ENT,2023,11,November,3298434.42,2884348.04,414086.38,34,5.5588235294117645
ENT,2023,12,December,4699882.57,4027367.36,672515.21,38,5.947368421052632
ENT,2024,1,January,6095465.46,4885158.99,1210306.47,41,6.195121951219512
ENT,2024,2,February,3455478.04,2832126.24,623351.8,31,5.290322580645161
ENT,2024,3,March,3008922.46,2487930.6,520991.86,33,5.696969696969697
ENT,2024,4,April,3460328.5,2744807.15,715521.35,29,7.551724137931035
ENT,2024,5,May,2168385.14,1752330.53,416054.61,19,6.315789473684211
ENT,2024,6,June,3658887.84,3053597.9,605289.94,30,6.8
ENT,2024,7,July,4012126.83,3373508.54,638618.29,33,5.787878787878788
ENT,2024,8,August,2907115.02,2435794.6,471320.42,25,6.04
ENT,2024,9,September,4470081.61,3854317.34,615764.27,34,7.352941176470588
ENT,2024,10,October,2480474.64,1922196.8,558277.84,26,5.8076923076923075
ENT,2024,11,November,4703062.12,3928474.5,774587.62,31,6.290322580645161
ENT,2024,12,December,4036361.57,3414444.99,621916.58,31,4.67741935483871
General Surgery,2022,1,January,4910466.8,3926890.97,983575.83,27,7.888888888888889
General Surgery,2022,2,February,1642388.29,1169771.79,472616.5,22,5.7272727272727275
General Surgery,2022,3,March,3378286.77,2792612.41,585674.36,26,6.538461538461538
General Surgery,2022,4,April,2491718.65,2229227.51,262491.14,19,6.842105263157895
General Surgery,2022,5,May,2330785.56,2009787.17,320998.39,25,4.68
General Surgery,2022,6,June,3881139.4,3389421.63,491717.77,26,7.153846153846154
General Surgery,2022,7,July,2805342.02,2259589.0,545753.02,25,7.12
General Surgery,2022,8,August,4346187.87,3574463.15,771724.72,37,8.135135135135135
General Surgery,2022,9,September,6562985.53,5602417.51,960568.02,38,7.684210526315789
General Surgery,2022,10,October,2373239.67,2001810.94,371428.73,27,6.62962962962963
General Surgery,2022,11,November,3673398.21,3304719.26,368678.95,34,6.588235294117647
General Surgery,2022,12,December,5431654.13,4387848.86,1043805.27,41,6.878048780487805
General Surgery,2023,1,January,4335805.9,3393233.64,942572.26,31,7.290322580645161
General Surgery,2023,2,February,3440142.73,2933342.89,506799.84,37,5.918918918918919
General Surgery,2023,3,March,3586922.17,2821933.66,764988.51,33,6.454545454545454
General Surgery,2023,4,April,3495820.96,3112042.16,383778.8,29,7.172413793103448
General Surgery,2023,5,May,2406479.05,1967595.86,438883.19,20,3.9
General Surgery,2023,6,June,1992852.25,1578772.09,414080.16,13,7.0
General Surgery,2023,7,July,6137877.68,5203808.21,934069.47,54,6.444444444444445
General Surgery,2023,8,August,3879682.08,3417686.55,461995.53,28,5.964285714285714
General Surgery,2023,9,September,2617833.72,2268433.99,349399.73,25,7.8
General Surgery,2023,10,October,4513413.76,3773635.28,739778.48,42,5.095238095238095
General Surgery,2023,11,November,3655016.63,2861466.42,793550.21,37,6.081081081081081
General Surgery,2023,12,December,3799372.49,2981232.87,818139.62,35,7.542857142857143
General Surgery,2024,1,January,6316076.63,5114240.05,1201836.58,47,5.276595744680851
General Surgery,2024,2,February,2973143.76,2545665.03,427478.73,25,5.36
General Surgery,2024,3,March,4125900.65,3559336.99,566563.66,28,5.714285714285714
General Surgery,2024,4,April,2309947.93,1981414.3,328533.63,34,6.970588235294118
General Surgery,2024,5,May,2718960.57,2245443.17,473517.4,26,6.846153846153846
General Surgery,2024,6,June,2722167.49,2192762.72,529404.77,33,5.606060606060606
General Surgery,2024,7,July,4699060.53,4175282.14,523778.39,40,6.35
General Surgery,2024,8,August,6490369.9,5578815.9,911554.0,39,7.512820512820513
General Surgery,2024,9,September,5451404.46,4494275.71,957128.75,44,6.4772727272727275
General Surgery,2024,10,October,4299120.21,3761462.07,537658.14,29,6.241379310344827
General Surgery,2024,11,November,3181378.47,2477776.43,703602.04,31,5.645161290322581
General Surgery,2024,12,December,4577133.26,3745883.32,831249.94,33,6.424242424242424
Gynecology,2022,1,January,3817538.09,3221120.39,596417.7,50,3.74
Gynecology,2022,2,February,4653703.77,3945463.7,708240.07,39,5.666666666666667
Gynecology,2022,3,March,3653258.4,3172502.82,480755.58,37,3.5945945945945947
Gynecology,2022,4,April,4751334.74,3802287.66,949047.08,46,4.3478260869565215
Gynecology,2022,5,May,4384337.37,3748102.77,636234.6,50,4.34
Gynecology,2022,6,June,4437531.68,3476973.46,960558.22,30,4.4
Gynecology,2022,7,July,4949984.61,3908607.51,1041377.1,65,4.507692307692308
Gynecology,2022,8,August,5254105.17,4224625.89,1029479.28,54,4.5
Gynecology,2022,9,September,3793671.72,3495723.92,297947.8,43,3.9069767441860463
Gynecology,2022,10,October,1887917.12,1559359.82,328557.3,30,3.6333333333333333
Gynecology,2022,11,November,3012354.31,2353486.89,658867.42,30,4.733333333333333
Gynecology,2022,12,December,3654602.29,2833806.94,820795.35,44,4.113636363636363
Gynecology,2023,1,January,3857702.15,3119545.07,738157.08,48,4.8125
Gynecology,2023,2,February,2652284.99,2341283.46,311001.53,32,5.15625
Gynecology,2023,3,March,3130120.46,2724874.6,405245.86,34,5.294117647058823
Gynecology,2023,4,April,3320877.21,2660007.72,660869.49,37,5.5675675675675675
Gynecology,2023,5,May,2877172.03,2284074.81,593097.22,40,4.025
Gynecology,2023,6,June,4624691.25,3876344.62,748346.63,47,5.319148936170213
Gynecology,2023,7,July,3583247.39,2965114.27,618133.12,52,5.076923076923077
Gynecology,2023,8,August,5879838.41,4975327.04,904511.37,68,3.5441176470588234
Gynecology,2023,9,September,4105416.45,3278702.99,826713.46,51,3.6470588235294117
Gynecology,2023,10,October,4570798.48,3508572.39,1062226.09,44,5.0227272727272725
Gynecology,2023,11,November,1479883.8,1334125.29,145758.51,41,2.8048780487804876
Gynecology,2023,12,December,4237163.22,3496389.17,740774.05,41,5.146341463414634
Gynecology,2024,1,January,4084006.98,3624317.68,459689.3,38,5.131578947368421
Gynecology,2024,2,February,1938817.72,1638473.03,300344.69,44,3.340909090909091
Gynecology,2024,3,March,3613166.6,2809351.01,803815.59,33,4.696969696969697
Gynecology,2024,4,April,2720088.83,2206822.02,513266.81,41,4.048780487804878
Gynecology,2024,5,May,2031813.51,1659923.66,371889.85,41,3.658536585365854
Gynecology,2024,6,June,2990383.27,2628929.68,361453.59,40,3.5
Gynecology,2024,7,July,5746727.15,5031144.93,715582.22,67,4.2835820895522385
Gynecology,2024,8,August,5716931.28,4852847.33,864083.95,59,4.898305084745763
Gynecology,2024,9,September,4920160.05,4261639.46,658520.59,50,5.26
Gynecology,2024,10,October,5380871.84,4499395.36,881476.48,43,4.953488372093023
Gynecology,2024,11,November,4662542.44,3933592.1,728950.34,44,5.181818181818182
Gynecology,2024,12,December,4360206.06,3728733.47,631472.59,34,6.0
Neurology,2022,1,January,29502.44,26329.38,3173.06,22,0.13636363636363635
Neurology,2022,2,February,9990.93,8159.63,1831.3,10,1.2
Neurology,2022,3,March,29509.64,24579.92,4929.72,18,0.2222222222222222
Neurology,2022,4,April,32926.44,25886.33,7040.11,31,0.7419354838709677
Neurology,2022,5,May,29691.51,23593.44,6098.07,20,0.45
Neurology,2022,6,June,39331.5,33420.13,5911.37,24,0.7916666666666666
Neurology,2022,7,July,28345.82,23873.33,4472.49,23,0.9130434782608695
Neurology,2022,8,August,28622.54,21902.61,6719.93,21,0.8095238095238095
Neurology,2022,9,September,41515.55,35144.76,6370.79,27,0.5185185185185185
Neurology,2022,10,October,42055.64,35043.07,7012.57,32,0.40625
Neurology,2022,11,November,9759.79,8503.31,1256.48,10,0.1
Neurology,2022,12,December,33714.6,27953.56,5761.04,27,0.3333333333333333
Neurology,2023,1,January,36226.42,31310.49,4915.93,29,0.4827586206896552
Neurology,2023,2,February,25998.38,20595.01,5403.37,16,0.8125
Neurology,2023,3,March,23446.08,18960.94,4485.14,17,0.8235294117647058
Neurology,2023,4,April,27263.34,22497.85,4765.49,18,0.9444444444444444
Neurology,2023,5,May,35067.52,27347.05,7720.47,26,0.5
Neurology,2023,6,June,25836.88,22005.21,3831.67,22,0.2727272727272727
Neurology,2023,7,July,30311.4,26260.28,4051.12,23,0.34782608695652173
Neurology,2023,8,August,36916.14,30768.11,6148.03,24,0.5833333333333334
Neurology,2023,9,September,37441.0,29895.78,7545.22,31,0.7096774193548387
Neurology,2023,10,October,31414.28,27115.7,4298.58,26,0.7307692307692307
Neurology,2023,11,November,22760.69,19015.09,3745.6,20,0.2
Neurology,2023,12,December,32438.9,26248.23,6190.67,23,0.6086956521739131
Neurology,2024,1,January,36791.23,29768.3,7022.93,31,0.45161290322580644
Neurology,2024,2,February,32857.37,27735.09,5122.28,21,0.3333333333333333
Neurology,2024,3,March,25511.28,20657.06,4854.22,22,0.5
Neurology,2024,4,April,21564.19,18268.79,3295.4,17,0.35294117647058826
Neurology,2024,5,May,20881.33,17962.83,2918.5,21,1.0952380952380951
Neurology,2024,6,June,18549.32,14534.06,4015.26,14,0.0
Neurology,2024,7,July,43401.24,37341.99,6059.25,29,0.7931034482758621
Neurology,2024,8,August,36332.22,29817.94,6514.28,25,0.56
Neurology,2024,9,September,34919.56,28593.38,6326.18,26,0.6923076923076923
Neurology,2024,10,October,27179.89,21005.39,6174.5,24,0.6666666666666666
Neurology,2024,11,November,34821.42,29644.4,5177.02,27,0.6666666666666666
Neurology,2024,12,December,25651.07,20110.65,5540.42,20,0.35
Ophthalmology,2022,1,January,5731574.37,4814766.46,916807.91,41,5.829268292682927
Ophthalmology,2022,2,February,3641239.43,2913242.76,727996.67,29,5.482758620689655
Ophthalmology,2022,3,March,5077601.59,4339336.68,738264.91,35,7.914285714285715
Ophthalmology,2022,4,April,3891748.61,3281516.55,610232.06,35,7.0
Ophthalmology,2022,5,May,4482078.64,3639714.59,842364.05,39,6.435897435897436
Ophthalmology,2022,6,June,4850906.98,3947417.38,903489.6,38,6.631578947368421
Ophthalmology,2022,7,July,6026767.02,4891682.88,1135084.14,43,6.348837209302325
Ophthalmology,2022,8,August,2993119.99,2397660.52,595459.47,33,4.878787878787879
Ophthalmology,2022,9,September,3365438.38,2697983.31,667455.07,37,5.972972972972973
Ophthalmology,2022,10,October,2980549.8,2522732.92,457816.88,28,5.75
Ophthalmology,2022,11,November,3871598.79,3274346.19,597252.6,36,6.138888888888889
Ophthalmology,2022,12,December,3675318.47,3126085.77,549232.7,30,6.533333333333333
Ophthalmology,2023,1,January,4727118.62,3938642.45,788476.17,35,7.3428571428571425
Ophthalmology,2023,2,February,3096987.94,2727827.37,369160.57,25,6.84
Ophthalmology,2023,3,March,4607123.05,3612702.82,994420.23,32,6.4375
Ophthalmology,2023,4,April,2362639.66,2133687.65,228952.01,25,7.12
Ophthalmology,2023,5,May,3264050.2,2525762.74,738287.46,22,7.454545454545454
Ophthalmology,2023,6,June,2467822.55,1841839.58,625982.97,27,7.037037037037037
Ophthalmology,2023,7,July,6704227.66,5592413.3,1111814.36,36,8.027777777777779
Ophthalmology,2023,8,August,2648110.02,2139058.77,509051.25,34,6.0
Ophthalmology,2023,9,September,5092790.63,4208090.98,884699.65,43,5.674418604651163
Ophthalmology,2023,10,October,2438688.88,1887908.64,550780.24,24,6.291666666666667
Ophthalmology,2023,11,November,3522239.77,2913613.43,608626.34,29,4.551724137931035
Ophthalmology,2023,12,December,3270324.88,2499871.02,770453.86,31,5.838709677419355
Ophthalmology,2024,1,January,6271108.8,4961070.31,1310038.49,42,7.809523809523809
Ophthalmology,2024,2,February,4951699.58,4343225.21,608474.37,35,6.371428571428571
Ophthalmology,2024,3,March,2776462.25,2329519.22,446943.03,24,5.625
Ophthalmology,2024,4,April,3804642.61,3309575.76,495066.85,27,6.037037037037037
Ophthalmology,2024,5,May,3105958.65,2414141.52,691817.13,24,6.0
Ophthalmology,2024,6,June,4290703.88,3643850.89,646852.99,27,6.555555555555555
Ophthalmology,2024,7,July,4040417.47,3279996.45,760421.02,33,6.696969696969697
Ophthalmology,2024,8,August,4646115.6,3731787.69,914327.91,45,4.8
Ophthalmology,2024,9,September,5752774.01,4677482.09,1075291.92,35,6.3428571428571425
Ophthalmology,2024,10,October,5394016.86,4627621.63,766395.23,35,8.514285714285714
Ophthalmology,2024,11,November,2299737.32,2021488.65,278248.67,22,5.7727272727272725
Ophthalmology,2024,12,December,4933181.27,4181432.35,751748.92,29,6.517241379310345
Orthopedics,2022,1,January,4356575.21,3722066.75,634508.46,39,6.717948717948718
Orthopedics,2022,2,February,3302427.41,2535939.83,766487.58,25,6.84
Orthopedics,2022,3,March,3680078.84,3071457.68,608621.16,31,7.548387096774193
Orthopedics,2022,4,April,2337170.85,1973635.43,363535.42,24,5.166666666666667
Orthopedics,2022,5,May,2078347.87,1750793.85,327554.02,23,6.608695652173913
Orthopedics,2022,6,June,1971496.72,1689044.59,282452.13,19,6.052631578947368
Orthopedics,2022,7,July,5869828.59,4555280.56,1314548.03,42,5.428571428571429
Orthopedics,2022,8,August,6237700.34,5262789.59,974910.75,48,6.458333333333333
Orthopedics,2022,9,September,5496148.28,4625921.95,870226.33,41,6.341463414634147
Orthopedics,2022,10,October,4455919.11,3919040.9,536878.21,33,6.787878787878788
Orthopedics,2022,11,November,3713694.17,3252490.57,461203.6,24,7.375
Orthopedics,2022,12,December,3312592.74,2866728.22,445864.52,29,6.241379310344827
Orthopedics,2023,1,January,3924036.53,3253743.97,670292.56,31,5.806451612903226
Orthopedics,2023,2,February,4165830.87,3562131.9,603698.97,30,5.9
Orthopedics,2023,3,March,3704977.89,3062134.81,642843.08,21,7.523809523809524
Orthopedics,2023,4,April,3173386.95,2396636.69,776750.26,26,8.961538461538462
Orthopedics,2023,5,May,3321186.07,2749504.18,571681.89,33,7.0
Orthopedics,2023,6,June,3482279.6,2855361.43,626918.17,22,6.090909090909091
Orthopedics,2023,7,July,2914335.62,2367096.12,547239.5,30,5.566666666666666
Orthopedics,2023,8,August,5604244.25,4603246.16,1000998.09,45,6.4
Orthopedics,2023,9,September,2097152.78,1735120.71,362032.07,25,4.2
Orthopedics,2023,10,October,2708742.53,2366604.43,342138.1,29,6.137931034482759
Orthopedics,2023,11,November,4651455.55,4102163.54,549292.01,27,6.777777777777778
Orthopedics,2023,12,December,5285622.24,4421876.38,863745.86,46,5.586956521739131
Orthopedics,2024,1,January,4480288.59,3795993.15,684295.44,35,6.285714285714286
Orthopedics,2024,2,February,4521534.38,3813425.57,708108.81,25,6.88
Orthopedics,2024,3,March,4047357.53,3738606.98,308750.55,19,5.7894736842105265
Orthopedics,2024,4,April,2730924.46,2283465.82,447458.64,24,6.166666666666667
Orthopedics,2024,5,May,3317547.72,2770092.09,547455.63,29,7.413793103448276
Orthopedics,2024,6,June,2373678.12,1911733.77,461944.35,20,6.55
Orthopedics,2024,7,July,1571720.08,1225144.01,346576.07,23,5.304347826086956
Orthopedics,2024,8,August,3700071.98,3263570.52,436501.46,36,6.833333333333333
Orthopedics,2024,9,September,2329636.41,1965201.59,364434.82,30,6.166666666666667
Orthopedics,2024,10,October,3353090.42,2738562.96,614527.46,30,7.7
Orthopedics,2024,11,November,1715180.55,1261486.51,453694.04,22,5.045454545454546
Orthopedics,2024,12,December,4540660.08,3790059.69,750600.39,38,6.157894736842105
Pathology,2022,1,January,65456.69,55843.33,9613.36,87,0.6781609195402298
Pathology,2022,2,February,64541.05,52740.3,11800.75,83,0.6506024096385542
Pathology,2022,3,March,71153.6,59469.07,11684.53,91,1.010989010989011
Pathology,2022,4,April,71011.33,58337.51,12673.82,94,0.8191489361702128
Pathology,2022,5,May,81154.86,68861.5,12293.36,99,0.6767676767676768
Pathology,2022,6,June,62646.97,52486.3,10160.67,85,0.7176470588235294
Pathology,2022,7,July,103033.44,83922.15,19111.29,124,0.5725806451612904
Pathology,2022,8,August,94032.24,76891.06,17141.18,117,0.7777777777777778
Pathology,2022,9,September,102183.43,82741.69,19441.74,118,0.7711864406779662
Pathology,2022,10,October,74478.22,60955.33,13522.89,89,0.7752808988764045
Pathology,2022,11,November,72364.63,57644.27,14720.36,90,0.4222222222222222
Pathology,2022,12,December,90834.77,74809.67,16025.1,112,0.8035714285714286
Pathology,2023,1,January,87319.07,70616.4,16702.67,121,0.4132231404958678
Pathology,2023,2,February,67150.48,56737.33,10413.15,90,0.6777777777777778
Pathology,2023,3,March,67640.01,56030.26,11609.75,86,0.7674418604651163
Pathology,2023,4,April,73453.32,62871.39,10581.93,82,0.9634146341463414
Pathology,2023,5,May,67925.02,55802.72,12122.3,88,0.4431818181818182
Pathology,2023,6,June,69599.59,58464.37,11135.22,86,0.29069767441860467
Pathology,2023,7,July,99079.91,81907.73,17172.18,125,0.544
Pathology,2023,8,August,90972.92,73828.34,17144.58,113,0.3805309734513274
Pathology,2023,9,September,80512.98,65746.93,14766.05,103,0.46601941747572817
Pathology,2023,10,October,92806.84,76924.14,15882.7,103,0.5339805825242718
Pathology,2023,11,November,74106.26,59356.99,14749.27,89,0.3146067415730337
Pathology,2023,12,December,63693.95,54059.97,9633.98,75,0.8266666666666667
Pathology,2024,1,January,88259.97,74432.65,13827.32,108,0.48148148148148145
Pathology,2024,2,February,72867.99,58194.38,14673.61,100,0.49
Pathology,2024,3,March,72525.56,60452.01,12073.55,90,0.6666666666666666
Pathology,2024,4,April,53573.5,44318.41,9255.09,71,0.6197183098591549
Pathology,2024,5,May,70423.33,58912.11,11511.22,87,0.5172413793103449
Pathology,2024,6,June,82472.41,68784.12,13688.29,97,0.7938144329896907
Pathology,2024,7,July,89357.1,75522.95,13834.15,112,0.39285714285714285
Pathology,2024,8,August,94309.02,78686.4,15622.62,132,0.6363636363636364
Pathology,2024,9,September,86853.81,70046.32,16807.49,108,0.7407407407407407
Pathology,2024,10,October,85896.36,71771.72,14124.64,104,0.5096153846153846
Pathology,2024,11,November,63721.79,52953.46,10768.33,86,0.4883720930232558
Pathology,2024,12,December,91114.65,73790.45,17324.2,108,0.6481481481481481
